asset_id,title,description,keywords,library,category,subcategory,dimensions,status,upload_by,upload_date,last_updated_by,last_update_date,admin_notes,bit_rate,dload_file_type,dload_resolution,dload_size
2794,140238052,Sailors pass supplies to each other in the hangar bay of USS Ronald Reagan.,"Ocean, Team",Qualcomm,Photography,Brand Photography,,,Super Admin,12/13/2013,Brittany,11/5/2014,,,JPEG,300 dpi,3.1mb
4866,15s Fabric Video: Date 1/6 (mp4),15s Why Wait Fabric Video--Date Series 1 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Campaign, Date, Internet of Things, IoT, Series, Technology, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.44 Mbit/s,MP4,N/A,94.2mb
4867,15s Fabric Video: Date 2/6 (mp4),15s Why Wait Fabric Video--Date Series 2 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Series, Date, Narratives, Technology, Internet of Things, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,53.77 Mbit/s,MP4,N/A,96.5mb
4870,15s Fabric Video: Date 3/6 (mp4),15s Why Wait Fabric Video--Date Series 3 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Series, Technology, Date, Narratives, Internet of Everything, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.79 Mbit/s,MP4,N/A,94.8mb
4868,15s Fabric Video: Date 4/6 (mp4),15s Why Wait Fabric Video--Date Series 4 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Series, Narratives, Technology, Internet of Things, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.93 Mbit/s,MP4,N/A,95mb
4869,15s Fabric Video: Date 5/6 (mp4),15s Why Wait Fabric Video--Date Series 5 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Date, Series, Narratives, Internet of Things, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,53.05 Mbit/s,MP4,N/A,95.2mb
4871,15s Fabric Video: Date 6/6 (mp4),15s Why Wait Fabric Video--Date Series 6 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Date, Series, Internet of Things, IoT, Narrative, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.2 Mbit/s,MP4,N/A,93.7mb
4852,15s Fabric Video: Festival 1/6 (mp4),15s Why Wait Fabric Video-- Festival Series 1 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, Narrative, Technology, mp4",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,200.01 Mbit/s,MP4,N/A,359.1mb
4853,15s Fabric Video: Festival 2/6 (mp4),15s Why Wait Fabric Video--Festival Series 2 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, Technology, Narrative, mp4",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,189.36 Mbit/s,MP4,N/A,340mb
4857,15s Fabric Video: Festival 3/6 (mp4),15s Why Wait Fabric Video-- Festival Series 3 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, Technology, Narratives, mp4",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,130.32 Mbit/s,MP4,N/A,234mb
4855,15s Fabric Video: Festival 4/6 (mp4),15s Why Wait Fabric Video-- Festival series 4 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, mp4, narrative, technology",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,163.71 Mbit/s,MP4,N/A,293.9mb
4856,15s Fabric Video: Festival 5/6 (mp4),15s Why Wait Fabric Video-- Festival Series 5 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, Technology, Narrative, mp4",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,174.29 Mbit/s,MP4,N/A,312.9mb
4854,15s Fabric Video: Festival 6/6 (mp4),15s Why Wait Fabric Video--Festival Series 6 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,,Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,150.15 Mbit/s,MP4,N/A,269.6mb
4858,15s Fabric Video: Terminal 1/6 (mp4),15s Why Wait Fabric Video--Terminal Series 1 of 6. Qualcomm narrative focus: cognitive technologies. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Terminal, Series, Cognitive, Technologies, Narratives, Campaign, Airport, Travel, mp4",Qualcomm,Why Wait,Fabric Videos: Terminal,,,Brittany,1/19/2016,Brittany,1/19/2016,,100.5 Mbit/s,MP4,N/A,180.4mb
4861,15s Fabric Video: Terminal 2/6 (mp4),15s Why Wait Fabric Video--Terminal Series 2 of 6. Qualcomm narrative focus: cognitive technologies. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Terminal, Series, Narratives, Cognitive, Technologies, airport, mp4",Qualcomm,Why Wait,Fabric Videos: Terminal,,,Brittany,1/19/2016,Brittany,1/19/2016,,106.28 Mbit/s,MP4,N/A,190.8mb
2794,140238052,Sailors pass supplies to each other in the hangar bay of USS Ronald Reagan.,"Ocean, Team",Qualcomm,Photography,Brand Photography,,,Super Admin,12/13/2013,Brittany,11/5/2014,,,JPEG,300 dpi,3.1mb
4866,15s Fabric Video: Date 1/6 (mp4),15s Why Wait Fabric Video--Date Series 1 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Campaign, Date, Internet of Things, IoT, Series, Technology, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.44 Mbit/s,MP4,N/A,94.2mb
4867,15s Fabric Video: Date 2/6 (mp4),15s Why Wait Fabric Video--Date Series 2 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Series, Date, Narratives, Technology, Internet of Things, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,53.77 Mbit/s,MP4,N/A,96.5mb
4870,15s Fabric Video: Date 3/6 (mp4),15s Why Wait Fabric Video--Date Series 3 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Series, Technology, Date, Narratives, Internet of Everything, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.79 Mbit/s,MP4,N/A,94.8mb
4868,15s Fabric Video: Date 4/6 (mp4),15s Why Wait Fabric Video--Date Series 4 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Series, Narratives, Technology, Internet of Things, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.93 Mbit/s,MP4,N/A,95mb
4869,15s Fabric Video: Date 5/6 (mp4),15s Why Wait Fabric Video--Date Series 5 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Date, Series, Narratives, Internet of Things, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,53.05 Mbit/s,MP4,N/A,95.2mb
4871,15s Fabric Video: Date 6/6 (mp4),15s Why Wait Fabric Video--Date Series 6 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Date, Series, Internet of Things, IoT, Narrative, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.2 Mbit/s,MP4,N/A,93.7mb
4852,15s Fabric Video: Festival 1/6 (mp4),15s Why Wait Fabric Video-- Festival Series 1 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, Narrative, Technology, mp4",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,200.01 Mbit/s,MP4,N/A,359.1mb
4853,15s Fabric Video: Festival 2/6 (mp4),15s Why Wait Fabric Video--Festival Series 2 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, Technology, Narrative, mp4",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,189.36 Mbit/s,MP4,N/A,340mb
4857,15s Fabric Video: Festival 3/6 (mp4),15s Why Wait Fabric Video-- Festival Series 3 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, Technology, Narratives, mp4",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,130.32 Mbit/s,MP4,N/A,234mb
4855,15s Fabric Video: Festival 4/6 (mp4),15s Why Wait Fabric Video-- Festival series 4 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, mp4, narrative, technology",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,163.71 Mbit/s,MP4,N/A,293.9mb
4856,15s Fabric Video: Festival 5/6 (mp4),15s Why Wait Fabric Video-- Festival Series 5 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, Technology, Narrative, mp4",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,174.29 Mbit/s,MP4,N/A,312.9mb
4854,15s Fabric Video: Festival 6/6 (mp4),15s Why Wait Fabric Video--Festival Series 6 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,,Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,150.15 Mbit/s,MP4,N/A,269.6mb
4858,15s Fabric Video: Terminal 1/6 (mp4),15s Why Wait Fabric Video--Terminal Series 1 of 6. Qualcomm narrative focus: cognitive technologies. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Terminal, Series, Cognitive, Technologies, Narratives, Campaign, Airport, Travel, mp4",Qualcomm,Why Wait,Fabric Videos: Terminal,,,Brittany,1/19/2016,Brittany,1/19/2016,,100.5 Mbit/s,MP4,N/A,180.4mb
4861,15s Fabric Video: Terminal 2/6 (mp4),15s Why Wait Fabric Video--Terminal Series 2 of 6. Qualcomm narrative focus: cognitive technologies. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Terminal, Series, Narratives, Cognitive, Technologies, airport, mp4",Qualcomm,Why Wait,Fabric Videos: Terminal,,,Brittany,1/19/2016,Brittany,1/19/2016,,106.28 Mbit/s,MP4,N/A,190.8mb
2794,140238052,Sailors pass supplies to each other in the hangar bay of USS Ronald Reagan.,"Ocean, Team",Qualcomm,Photography,Brand Photography,,,Super Admin,12/13/2013,Brittany,11/5/2014,,,JPEG,300 dpi,3.1mb
4866,15s Fabric Video: Date 1/6 (mp4),15s Why Wait Fabric Video--Date Series 1 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Campaign, Date, Internet of Things, IoT, Series, Technology, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.44 Mbit/s,MP4,N/A,94.2mb
4867,15s Fabric Video: Date 2/6 (mp4),15s Why Wait Fabric Video--Date Series 2 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Series, Date, Narratives, Technology, Internet of Things, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,53.77 Mbit/s,MP4,N/A,96.5mb
4870,15s Fabric Video: Date 3/6 (mp4),15s Why Wait Fabric Video--Date Series 3 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Series, Technology, Date, Narratives, Internet of Everything, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.79 Mbit/s,MP4,N/A,94.8mb
4868,15s Fabric Video: Date 4/6 (mp4),15s Why Wait Fabric Video--Date Series 4 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Series, Narratives, Technology, Internet of Things, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.93 Mbit/s,MP4,N/A,95mb
4869,15s Fabric Video: Date 5/6 (mp4),15s Why Wait Fabric Video--Date Series 5 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Date, Series, Narratives, Internet of Things, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,53.05 Mbit/s,MP4,N/A,95.2mb
4871,15s Fabric Video: Date 6/6 (mp4),15s Why Wait Fabric Video--Date Series 6 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Date, Series, Internet of Things, IoT, Narrative, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.2 Mbit/s,MP4,N/A,93.7mb
4852,15s Fabric Video: Festival 1/6 (mp4),15s Why Wait Fabric Video-- Festival Series 1 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, Narrative, Technology, mp4",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,200.01 Mbit/s,MP4,N/A,359.1mb
4853,15s Fabric Video: Festival 2/6 (mp4),15s Why Wait Fabric Video--Festival Series 2 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, Technology, Narrative, mp4",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,189.36 Mbit/s,MP4,N/A,340mb
4857,15s Fabric Video: Festival 3/6 (mp4),15s Why Wait Fabric Video-- Festival Series 3 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, Technology, Narratives, mp4",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,130.32 Mbit/s,MP4,N/A,234mb
4855,15s Fabric Video: Festival 4/6 (mp4),15s Why Wait Fabric Video-- Festival series 4 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, mp4, narrative, technology",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,163.71 Mbit/s,MP4,N/A,293.9mb
4856,15s Fabric Video: Festival 5/6 (mp4),15s Why Wait Fabric Video-- Festival Series 5 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, Technology, Narrative, mp4",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,174.29 Mbit/s,MP4,N/A,312.9mb
4854,15s Fabric Video: Festival 6/6 (mp4),15s Why Wait Fabric Video--Festival Series 6 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,,Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,150.15 Mbit/s,MP4,N/A,269.6mb
4858,15s Fabric Video: Terminal 1/6 (mp4),15s Why Wait Fabric Video--Terminal Series 1 of 6. Qualcomm narrative focus: cognitive technologies. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Terminal, Series, Cognitive, Technologies, Narratives, Campaign, Airport, Travel, mp4",Qualcomm,Why Wait,Fabric Videos: Terminal,,,Brittany,1/19/2016,Brittany,1/19/2016,,100.5 Mbit/s,MP4,N/A,180.4mb
4861,15s Fabric Video: Terminal 2/6 (mp4),15s Why Wait Fabric Video--Terminal Series 2 of 6. Qualcomm narrative focus: cognitive technologies. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Terminal, Series, Narratives, Cognitive, Technologies, airport, mp4",Qualcomm,Why Wait,Fabric Videos: Terminal,,,Brittany,1/19/2016,Brittany,1/19/2016,,106.28 Mbit/s,MP4,N/A,190.8mb
2794,140238052,Sailors pass supplies to each other in the hangar bay of USS Ronald Reagan.,"Ocean, Team",Qualcomm,Photography,Brand Photography,,,Super Admin,12/13/2013,Brittany,11/5/2014,,,JPEG,300 dpi,3.1mb
4866,15s Fabric Video: Date 1/6 (mp4),15s Why Wait Fabric Video--Date Series 1 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Campaign, Date, Internet of Things, IoT, Series, Technology, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.44 Mbit/s,MP4,N/A,94.2mb
4867,15s Fabric Video: Date 2/6 (mp4),15s Why Wait Fabric Video--Date Series 2 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Series, Date, Narratives, Technology, Internet of Things, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,53.77 Mbit/s,MP4,N/A,96.5mb
4870,15s Fabric Video: Date 3/6 (mp4),15s Why Wait Fabric Video--Date Series 3 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Series, Technology, Date, Narratives, Internet of Everything, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.79 Mbit/s,MP4,N/A,94.8mb
4868,15s Fabric Video: Date 4/6 (mp4),15s Why Wait Fabric Video--Date Series 4 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Series, Narratives, Technology, Internet of Things, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.93 Mbit/s,MP4,N/A,95mb
4869,15s Fabric Video: Date 5/6 (mp4),15s Why Wait Fabric Video--Date Series 5 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Date, Series, Narratives, Internet of Things, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,53.05 Mbit/s,MP4,N/A,95.2mb
4871,15s Fabric Video: Date 6/6 (mp4),15s Why Wait Fabric Video--Date Series 6 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Date, Series, Internet of Things, IoT, Narrative, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.2 Mbit/s,MP4,N/A,93.7mb
4852,15s Fabric Video: Festival 1/6 (mp4),15s Why Wait Fabric Video-- Festival Series 1 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, Narrative, Technology, mp4",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,200.01 Mbit/s,MP4,N/A,359.1mb
4853,15s Fabric Video: Festival 2/6 (mp4),15s Why Wait Fabric Video--Festival Series 2 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, Technology, Narrative, mp4",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,189.36 Mbit/s,MP4,N/A,340mb
4857,15s Fabric Video: Festival 3/6 (mp4),15s Why Wait Fabric Video-- Festival Series 3 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, Technology, Narratives, mp4",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,130.32 Mbit/s,MP4,N/A,234mb
4855,15s Fabric Video: Festival 4/6 (mp4),15s Why Wait Fabric Video-- Festival series 4 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, mp4, narrative, technology",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,163.71 Mbit/s,MP4,N/A,293.9mb
4856,15s Fabric Video: Festival 5/6 (mp4),15s Why Wait Fabric Video-- Festival Series 5 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, Technology, Narrative, mp4",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,174.29 Mbit/s,MP4,N/A,312.9mb
4854,15s Fabric Video: Festival 6/6 (mp4),15s Why Wait Fabric Video--Festival Series 6 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,,Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,150.15 Mbit/s,MP4,N/A,269.6mb
4858,15s Fabric Video: Terminal 1/6 (mp4),15s Why Wait Fabric Video--Terminal Series 1 of 6. Qualcomm narrative focus: cognitive technologies. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Terminal, Series, Cognitive, Technologies, Narratives, Campaign, Airport, Travel, mp4",Qualcomm,Why Wait,Fabric Videos: Terminal,,,Brittany,1/19/2016,Brittany,1/19/2016,,100.5 Mbit/s,MP4,N/A,180.4mb
4861,15s Fabric Video: Terminal 2/6 (mp4),15s Why Wait Fabric Video--Terminal Series 2 of 6. Qualcomm narrative focus: cognitive technologies. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Terminal, Series, Narratives, Cognitive, Technologies, airport, mp4",Qualcomm,Why Wait,Fabric Videos: Terminal,,,Brittany,1/19/2016,Brittany,1/19/2016,,106.28 Mbit/s,MP4,N/A,190.8mb
2794,140238052,Sailors pass supplies to each other in the hangar bay of USS Ronald Reagan.,"Ocean, Team",Qualcomm,Photography,Brand Photography,,,Super Admin,12/13/2013,Brittany,11/5/2014,,,JPEG,300 dpi,3.1mb
4866,15s Fabric Video: Date 1/6 (mp4),15s Why Wait Fabric Video--Date Series 1 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Campaign, Date, Internet of Things, IoT, Series, Technology, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.44 Mbit/s,MP4,N/A,94.2mb
4867,15s Fabric Video: Date 2/6 (mp4),15s Why Wait Fabric Video--Date Series 2 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Series, Date, Narratives, Technology, Internet of Things, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,53.77 Mbit/s,MP4,N/A,96.5mb
4870,15s Fabric Video: Date 3/6 (mp4),15s Why Wait Fabric Video--Date Series 3 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Series, Technology, Date, Narratives, Internet of Everything, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.79 Mbit/s,MP4,N/A,94.8mb
4868,15s Fabric Video: Date 4/6 (mp4),15s Why Wait Fabric Video--Date Series 4 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Series, Narratives, Technology, Internet of Things, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.93 Mbit/s,MP4,N/A,95mb
4869,15s Fabric Video: Date 5/6 (mp4),15s Why Wait Fabric Video--Date Series 5 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Date, Series, Narratives, Internet of Things, IoT, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,53.05 Mbit/s,MP4,N/A,95.2mb
4871,15s Fabric Video: Date 6/6 (mp4),15s Why Wait Fabric Video--Date Series 6 of 6. Qualcomm narrative focus: Internet of Things (IoT). File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Date, Series, Internet of Things, IoT, Narrative, mp4",Qualcomm,Why Wait,Fabric Videos: The Date,,,Brittany,1/19/2016,Brittany,1/19/2016,,52.2 Mbit/s,MP4,N/A,93.7mb
4852,15s Fabric Video: Festival 1/6 (mp4),15s Why Wait Fabric Video-- Festival Series 1 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, Narrative, Technology, mp4",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,200.01 Mbit/s,MP4,N/A,359.1mb
4853,15s Fabric Video: Festival 2/6 (mp4),15s Why Wait Fabric Video--Festival Series 2 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, Technology, Narrative, mp4",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,189.36 Mbit/s,MP4,N/A,340mb
4857,15s Fabric Video: Festival 3/6 (mp4),15s Why Wait Fabric Video-- Festival Series 3 of 6. Qualcomm narrative focus: mobile experiences. File type: mp4,"Qualcomm, Why Wait, Fabric, Videos, Festival, Series, Mobile, Experiences, Technology, Narratives, mp4",Qualcomm,Why Wait,Fabric Videos: Festival,,,Brittany,1/19/2016,Brittany,1/19/2016,,130.32 Mbit/s,MP4,N/A,234mb
